id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
"8760563",TORTILLERIA MORALES,,"311830",ElaboraciIn de tortillas de maiz y molienda de nixtamal,0 a 5 personas,CALLE,MODESTO ARREOLA,CALLE,FERNANDO DAVILA REYES,ANDADOR,NINGUNO,AVENIDA,IGNACIO MORONES PRIETO,"242",,,,,,COLONIA,LOS PINOS,,,,"66239","19",NUEVO LESN,"019",San Pedro Garza GarcTa,"0001",San Pedro Garza GarcTa,"0488","039",,JULIO_NESH@HOTMAIL.COM,,Fijo,25.67119584,-100.3943012,2019-11
"3019204",TORTILLERIA RODRIGUEZ,,"311830",ElaboraciIn de tortillas de maMz y molienda de nixtamal,0 a 5 personas,CALLE,COBALTO,CALLE,ZINC,CALLE,CARBONO,CALLE,PLOMO,"236",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcla,"0001",San Pedro Garza Garcla,"0011","015",,,,Fijo,25.68304894,-100.41365313,2010-07
"7648378",CARPINTERIA ALUMINIO Y VIDRIO ATLANTA,,"321910",FabricaciIn de productos de madera para la construcciDn,0 a 5 personas,CALLE,PLATA,AVENIDA,MANUEL J. CLOUTHIER,CALLE,PLOMO,CALLE,URANIO,"104",,,,,,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcca,"0001",San Pedro Garza Garcca,"0026","002",,,,Fijo,25.68070707,-100.41441832,2019-11
"7563996",COSTURA SIN NOMBRE,,"315223",ConfecciSn en serie de uniformes,0 a 5 personas,CALLE,ZINC,CALLE,GRAFITO,CALLE,AZUFRE,CALLE,CARBONO,"410",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcda,"0001",San Pedro Garza Garcda,"0011","005",,,,Fijo,25.68523889,-100.41361335,2019-11
"3019306",TORTILLERIA LA MONTANA,,"311830",ElaboraciIn de tortillas de madz y molienda de nixtamal,6 a 10 personas,CALLE,GENERAL ALVARO OBREGON,CALLE,ANTONIO I. VILLARREAL,CALLE,NICEFORO ZAMBRANO,AVENIDA,GENERAL EMILIANO ZAPATA,,SN,,,,,COLONIA,REVOLUCION,,,,"66219","19",NUEVO LEON,"019",San Pedro Garza GarcAa,"0001",San Pedro Garza GarcAa,"0327","021","8183158858",,,Fijo,25.68168223,-100.40759131,2010-07
"2992690",TORTILLERIA LA LOLA,TORTILLA DE MAIZ,"311830",ElaboraciDn de tortillas de madz y molienda de nixtamal,0 a 5 personas,CALLE,CROMO,CALLE,COBALTO,CALLE,PLOMO,CALLE,FIERRO,,SN,,,,,COLONIA,SAN PEDR0 400,,,,"66210","19",NUEVO LE0N,"019",San Pedro Garza Garcla,"0001",San Pedro Garza Garcla,"0026","029",,,,Fijo,25.68257758,-100.4175002,2014-12
"3019132",TORTILLERIA LA LUZ,,"311830",ElaboraciIn de tortillas de madz y molienda de nixtamal,11 a 30 personas,CALLE,ANTONIO DIAZ SOTO,AVENIDA,DIVISION DEL NORTE,CALLE,RICARDO FLORES MAGON,AVENIDA,MANUEL J. CLOUTHIER,,SN,,,,,COLONIA,REVOLUCION PRIMER SECTOR,,,,"66219","19",NUEVO LEON,"019",San Pedro Garza GarcCa,"0001",San Pedro Garza GarcCa,"0327","031","8183156610",LALUZ_TORTILLERIA@HOTMAIL.COM,,Fijo,25.68007858,-100.41080217,2010-07
"3018866",PANADERIA SIN NOMBRE,,"311812",PanificaciSn tradicional,0 a 5 personas,CALLE,RIOLITA,CALLE,GRANITO,CALLE,PROLONGACION RIOLITA,CALLE,FIERRO,"0",SN,,,"0",,COLONIA,PANNOMBREADERIA SIN,,,,"66210","19",NUEVO LEEN,"019",San Pedro Garza Garc,"0001",San Pedro Garza Garc,"0312","010","8183157070",,,Fijo,25.68595212,-100.41616894,2010-07
"7564001",PANADERIA SIN NOMBRE,,"311812",PanificaciSn tradicional,0 a 5 personas,CALLE,ANTIMONIO,CALLE,GRAFITO,CALLE,AZUFRE,CALLE,SODIO,"411",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcoa,"0001",San Pedro Garza Garcoa,"0011","010",,,,Fijo,25.68465728,-100.41271295,2019-11
"3019264",PANADERIA LUZ ELENA,,"311812",PanificaciLn tradicional,0 a 5 personas,CALLE,ORO,CALLE,PLOMO,CALLE,COBALTO,CALLE,ALUMINIO,"233",,,,,,COLONIA,SAN PEDRO 400,,,,"66621","19",NUEVO LEON,"019",San Pedro Garza Garcoa,"0001",San Pedro Garza Garcoa,"0026","010","8183157028",RICAR_GUILLE@HOTMAILO.COM,,Fijo,25.68326501,-100.41659791,2010-07
