id,nom_estab,codigo_act,join_UNION,join_NOMBRE_PARQUE,tipo_servicio
3019132,TORTILLERIA LA LUZ,311830,9,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
3019184,AISLAMIENTOS VALENZUELA,238311,229,POLIDEPORTIVO REVOLUCIÓN,servicios miscelaneos
3017928,ALCORSA,311940,1113,UNIDAD SAN PEDRO,servicios miscelaneos
3019290,ABARROTES DE LUNA,461110,129,PARQUE VERDE LIMON,abarrotes
2990170,ABARROTES ARIES,461110,1294,PARQUE RESPLANDOR,abarrotes
3019140,ABARROTES AVALOS,461110,9,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
2990129,ABARROTES DON JOSE,461110,9,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
3019202,ABARROTES MENDOZA,461110,1103,PARQUE LA AMISTAD ORIENTE,abarrotes
8829583,ABARROTES HUGO,461110,228,POLIDEPORTIVO REVOLUCIÓN,abarrotes
8812521,ABARROTES SIN NOMBRE,461110,6,PARQUE LAS MITRAS,abarrotes
7563386,ABARROTES SIN NOMBRE,461110,1293,PARQUE RESPLANDOR,abarrotes
7564105,ABARROTES SIN NOMBRE,461110,11,PARQUE LA HORMIGA,abarrotes
7563994,ABARROTES SIN NOMBRE,461110,228,POLIDEPORTIVO REVOLUCIÓN,abarrotes
2992768,ABARROTES JAZMIN,461110,244,JESÚS M. GARZA EN MORONES PRIETO,abarrotes
3019188,ACEITES Y ACCESORIOS LA CARCACHA,468420,11,PARQUE LA HORMIGA,servicios miscelaneos
3019242,ABARROTES RAMIREZ,461110,1065,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
3019360,ABARROTES TONY,461110,23,PARQUE BUGAMBILIAS,abarrotes
3019356,ABARROTES TORRES,461110,23,PARQUE BUGAMBILIAS,abarrotes
3019783,ABARROTES TREVI O,461110,260,PARQUE LINEAL PLAN DE AYALA,abarrotes
3019151,ABARROTES NG,461110,12,PARQUE LOS CIPRESES,abarrotes
6216560,ARREGLOS FLORALES,466312,1272,PARQUE LA RETAMA,servicios miscelaneos
8279457,ABARROTES FILEMON,461110,368,PARQUE DE BOLSILLO LUCIO BLANCO 3er SECTOR,abarrotes
2992701,CANCELES Y VENTANAS WINDOW STAR,467114,1065,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
3019182,CARNICERIA FUENTES,461121,228,POLIDEPORTIVO REVOLUCIÓN,abarrotes
3017904,DULCERIA TEACHER,461160,10,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
3019200,DULCERIA URANIO,461160,1103,PARQUE LA AMISTAD ORIENTE,abarrotes
7564173,EXPENDIO DE PAN,461190,1272,PARQUE LA RETAMA,abarrotes
8279458,FRUTERIA SIN NOMBRE,461130,368,PARQUE DE BOLSILLO LUCIO BLANCO 3er SECTOR,abarrotes
7563379,HELADERIA SIN NOMBRE,461170,1065,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
3019310,MINI SUPER GARCIA,462112,1272,PARQUE LA RETAMA,abarrotes
7563990,MINI SUPER BLANQUITA,462112,125,PARQUE VISTA DE LA MONTAÑA,abarrotes
3019240,PALETERIA Y NEVERIA LA MICHOACANA,461170,1065,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
