CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010331019","19","019","0001","0331","019",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0331","19","269","146","123","15","8","7","254","138","116","248","137","111","224","122","102","213","113","100","199","106","93","10","5","5","20","11","9","27","18","9","11","9",*,"14","7","7","27","15","12","70","53","29","24","84.25","56","178","35","76","73","74","71","73",*,*,"0.77","3.68","269","71","58","44","64","67","66","38","32","0",*,"7","0","8644"
"1901900010331018","19","019","0001","0331","018",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0331","18","362","181","181","20","10","10","342","171","171","335","167","168","302","155","147","286","146","140","273","140","133","13","7","6","27","9","18","38","17","21","16","9","7","13","6","7","45","22","23","90","65","32","33","100","76","256","30","100","94","96","90","94","6","0","0.82","3.85","362","90","74","49","69","88","81","50","36",*,*,"10",*,"9437"
"1901900010327030","19","019","0001","0327","030",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","30","134","65","69",*,"0",*,"133","65","68","130","62","68","120","56","64","115","54","61","112","53","59","6","4",*,"7","5",*,"11","6","5","5",*,"3","3",*,*,"19","8","11","31","31","18","13","106.15","19","101","14","42","38","39","35","38","4","0","0.78","3.53","134","38","26","22","25","38","28","21","18","0","0","7","0","4817"
"1901900010312020","19","019","0001","0312","020",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41900"
"1901900010331044","19","019","0001","0331","044",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0331","44","229","117","112","10","8",*,"219","109","110","215","108","107","192","98","94","181","93","88","171","88","83","6",*,"4","21","9","12","26","11","15","11","5","6","10","5","5","31","10","21","57","39","19","20","95.73","48","161","20","57","56","52","51","56","0",*,"0.85","4.09","229","55","38","35","46","54","52","30","25",*,"0","3","0","5888"
"1901900010312010","19","019","0001","0312","010",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","10","221","119","102","11","6","5","210","113","97","204","108","96","175","90","85","165","85","80","153","80","73","9","6","3","26","17","9","24","12","12","10","5","5","12","5","7","32","17","15","58","30","17","13","85.71","56","149","16","45","42","43","40","42",*,*,"1.1","5.26","221","41","25","8","24","38","28","14","7",*,*,"14","0","6288"
"1901900010026045","19","019","0001","0026","045",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","45","106","48","58","7",*,"5","99","46","53","96","45","51","90","42","48","84","41","43","81","40","41","5",*,"3","4",*,*,"10","3","7","6",*,"5","3",*,*,"8",*,"6","15","27","16","11","120.83","22","62","22","28","27","27","26","27",*,"0","0.94","3.93","106","24","15","10","11","23","15","10","5","3","3","12",*,"3503"
"1901900010011041","19","019","0001","0011","041",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","41","152","76","76","9","3","6","143","73","70","136","70","66","120","59","61","113","56","57","107","54","53","8","3","5","15","11","4","20","13","7","7","3","4","6",*,"4","25","14","11","41","16","10","6","100","39","98","15","35","31","34","30","31","3",*,"1.06","4.9","152","29","26","10","15","28","18","7","6","0",*,"12","0","4786"
"1901900010011040","19","019","0001","0011","040",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","40","191","95","96","6",*,"4","185","93","92","177","89","88","161","75","86","142","67","75","129","62","67","9","5","4","15","13",*,"29","17","12","19","8","11","13","5","8","26","9","17","47","18","9","9","101.05","49","131","11","47","41","45","39","41","5",*,"1.1","4.66","191","41","33","16","23","38","28","17","3","0",*,"13","0","5440"
"1901900010011039","19","019","0001","0011","039",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","39","68","29","39",*,*,"0","66","27","39","63","27","36","50","21","29","44","19","25","41","18","23","6","3","3","10","3","7","11","4","7","6",*,"4","3",*,*,"5",*,"3","11","6","4",*,"134.48","24","42",*,"16","12","16","12","12","3",*,"1.26","5.67","68","12","9",*,"9","10","8","5","3","0","0","4","0","8187"
