SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
5287.03085222,EA,ESPACIO ABIERTO,PARQUE,"1",,,,,,,
1775.28775828,EA,ESPACIO ABIERTO,PARQUE,"2",,,,,,,
113.129773024,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"3",,,,,,,
5.30720159113,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"4",,,,,,,
980.844365881,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"5",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
704.133679509,EA,ESPACIO ABIERTO,PARQUE LAS MITRAS,"6",PARQUE LAS MITRAS,"COLONIA SAN PEDRO 400 , SODIO Y POTASIO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
43372.7198514,EA,ESPACIO ABIERTO,CAÑADA,"7",PARQUE LOS ROSALES,"COLONIA SAN PEDRO 400, URANIO Y TUNGSTENO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque urbano
13412.2421819,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"8",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
9325.78540475,EA,ESPACIO ABIERTO,PARQUE,"9",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
4891.59117276,EA,ESPACIO ABIERTO,PARQUE,"10",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
1366.94383346,EA,ESPACIO ABIERTO,PARQUE,"11",PARQUE LA HORMIGA,"COLONIA REVOLUCION 1er SECTOR , EMILIANO ZAPATA Y DIVISION DEL NORTE",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
8983.86589746,EA,ESPACIO ABIERTO,PARQUE,"12",PARQUE LOS CIPRESES,"COLONIA REVOUCION 4º SECTOR , EMILIANO ZAPATA Y PLAN DE GUADALUPE",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
1561.18964187,EA,ESPACIO ABIERTO,PARQUE,"13",,,,,,,
1493.55557589,EA,ESPACIO ABIERTO,PARQUE,"14",PARQUE PONIENTE VERDE,"COLONIA VILLITAS DEL OBISPO , CLOUTHIER Y ANTONIO DE SASEDON",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de bolsillo
