POBTOT,area,join_SHAPE_AREA,UNION,NOMBRE_PARQUE,join_SECTOR,distance
269,8644,359.4811246,377,,,4.87E-05
362,9437,2046.275598,278,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000409533
134,4817,898.8684211,137,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.00052467
,41900,43372.71985,7,PARQUE LOS ROSALES,K1,0
229,5888,499.8417395,376,ANDADOR CORREGIDORA Y CLOUTHIER,K1,6.20E-05
221,6288,187.8535625,1191,,,0.000336063
106,3503,1293.145036,133,,,7.79E-05
152,4786,7632.968569,1102,PARQUE SAN PEDRO 400,K1,0.00011508
191,5440,7632.968569,1102,PARQUE SAN PEDRO 400,K1,5.65E-05
68,8187,43372.71985,7,PARQUE LOS ROSALES,K1,0
106,7759,113.129773,3,,,0
139,4578,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000101459
72,2041,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,0.000211925
72,2539,15203.51994,1067,PARQUE LA FUERZA,K1,0
199,7342,58.61771415,383,,,0.000444547
145,4135,5890.924917,1064,PARQUE VISTA DE LA MONTAÑA,K1,2.09E-05
68,1991,5395.063623,128,PARQUE VISTA DE LA MONTAÑA,K1,0
,11538,8324.900176,125,PARQUE VISTA DE LA MONTAÑA,K1,0
159,4007,5890.924917,1064,PARQUE VISTA DE LA MONTAÑA,K1,5.07E-05
76,3543,4129.134279,462,,,0
151,4192,1043.86575,1144,,,6.20E-05
82,1751,112.9853392,239,PARQUE LINEAL LOS PINOS,K1,0
217,4852,138.4773468,241,,,0
106,3530,167.3689816,178,,,0
26,1590,855.0428359,1366,,,0
45,3022,161.4515566,261,,,0
65,24886,1292.446345,15,PARQUE VILLITAS DEL OBISPO,K1,0
157,3671,1398.312884,1296,PARQUE MANUEL RIVERA,K1,0.000107875
135,11408,13412.24218,8,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
71,2220,111.2300928,1292,,,0
61,2239,60.74493628,379,,,6.39E-05
68,2475,62.96133186,380,,,6.23E-05
50,1551,194.1912336,382,,,7.06E-05
58,2150,194.1912336,382,,,6.96E-05
81,1439,12.07398599,1290,,,8.24E-05
20,1090,4610.711127,306,PARQUE SAN EVARISTO,K1,0.000450915
212,5773,2999.625293,1107,PARQUE LOS GIRASOLES,K1,6.40E-05
81,1990,1137.174972,134,,,8.47E-05
66,2459,1137.174972,134,,,7.91E-05
109,3013,1137.174972,134,,,7.96E-05
116,4120,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,8.95E-05
48,3108,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.48E-05
95,2973,785.2121287,1116,,,0.000168749
60,2306,1293.145036,133,,,9.67E-05
45,1813,1137.174972,134,,,8.16E-05
202,5513,9042.753381,1065,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.67E-05
173,4473,9208.371921,1291,,,9.91E-05
137,4819,1366.943833,11,PARQUE LA HORMIGA,K1,0.000220579
171,4475,9417.941249,1267,,,0.000537051
141,3919,1449.545929,1063,PARQUE EL POZO,K1,0.000201282
204,4816,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,0.00052673
181,4782,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,0.000519128
187,4539,9417.941249,1267,,,0.000157708
204,4655,9417.941249,1267,,,0.000107089
120,3252,5450.964902,23,PARQUE BUGAMBILIAS,K1,7.67E-05
188,4151,704.1336795,6,PARQUE LAS MITRAS,K1,0.000547845
104,3843,2999.625293,1107,PARQUE LOS GIRASOLES,K1,6.64E-05
73,1631,12.07398599,1290,,,0.000381919
79,2585,11678.8478,1272,PARQUE LA RETAMA,K1,6.44E-05
188,5086,194.1912336,382,,,7.95E-05
195,5386,58.61771415,383,,,7.36E-05
212,5928,60.44195681,384,,,6.90E-05
63,11800,8983.865897,12,PARQUE LOS CIPRESES,K1,0
223,5775,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,8.04E-05
226,4979,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,8.44E-05
55,1521,43372.71985,7,PARQUE LOS ROSALES,K1,0.000244709
193,5122,73.30084686,389,,,8.53E-05
288,8431,359.4811246,377,,,3.95E-05
124,3581,2790.44629,298,PARQUE SEDESOL (CAÑADA ),K1,0.000118522
110,3012,5450.964902,23,PARQUE BUGAMBILIAS,K1,0.000542558
167,4685,2277.374625,1297,,,0.000114734
1,6432,562.1801228,126,PARQUE PONIENTE VERDE,K1,0
,21239,2046.275598,278,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
212,7063,7826.263496,1398,PARQUE AMANECER,K1,0.000102204
355,10935,7826.263496,1398,PARQUE AMANECER,K1,9.04E-05
141,8445,13412.24218,8,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
,20708,6976.723528,1066,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
191,5203,152.3429222,388,,,0.000448855
156,4703,106.8525137,1324,,,0
176,5815,74.52946703,385,,,4.59E-05
,4634,9325.785405,9,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
71,1519,294.2394309,129,PARQUE VERDE LIMON,K1,0.00064372
222,7712,9325.785405,9,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,8.65E-05
186,6268,60.44195681,384,,,0.000449976
85,2712,9208.371921,1291,,,0.001403413
207,24076,1449.545929,1063,PARQUE EL POZO,K1,8.34E-05
106,2672,187.8535625,1191,,,0.001583782
205,5335,187.8535625,1191,,,0.000737837
107,2169,187.8535625,1191,,,0.001277335
38,1381,187.8535625,1191,,,0.001081955
48,1163,43372.71985,7,PARQUE LOS ROSALES,K1,0.000788802
176,5119,6976.723528,1066,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000159379
153,5755,9325.785405,9,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.18E-05
150,5162,111.2300928,1292,,,0.000129204
0,9769,471.1271896,75,,,0
102,5347,114.9163569,242,,,0
,159791,4962.571943,1068,LUCIO BLANCO 2¬∞ SECTOR. PARQUE LINEAL,K1,4.46E-05
193,5119,221.9338397,238,,,0
88,3375,1263.405226,1361,,,0
60,2769,29.03910041,101,,,0
,1398,1811.630227,1110,PARQUE VILLITAS DEL OBISPO,K1,0
,11670,43372.71985,7,PARQUE LOS ROSALES,K1,0
120,3139,111.2300928,1292,,,0.000413018
179,6377,2586.757295,1098,PARQUE LOS FICUS,K1,5.66E-05
,13004,2586.757295,1098,PARQUE LOS FICUS,K1,0
145,4938,12667.90122,1271,,,0.000107668
176,5149,106.8869524,1325,,,0.000117402
185,5347,73.30084686,389,,,4.35E-05
57,25892,294.2394309,129,PARQUE VERDE LIMON,K1,0
108,2627,4678.436508,1194,,,0.000424642
87,3095,156.1971649,93,,,0
61,2173,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000562873
44,2339,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000163683
46,2533,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.23E-05
1,11857,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,0
26,1202,9208.371921,1291,,,0.000174123
25,1168,9208.371921,1291,,,0.000524668
37,1274,9208.371921,1291,,,0.000882801
134,4283,9208.371921,1291,,,0.000537504
132,3944,9208.371921,1291,,,0.000948903
128,4098,9208.371921,1291,,,0.000941848
138,4471,9208.371921,1291,,,0.000519988
220,6020,7632.968569,1102,PARQUE SAN PEDRO 400,K1,5.60E-05
39,973,7632.968569,1102,PARQUE SAN PEDRO 400,K1,5.46E-05
